CUSTOMER -> | id customer:48 | n. bought products:10 | time in the supermarket: 0.294 s | time in queue: 0.252 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:17 | n. bought products:44 | time in the supermarket: 0.975 s | time in queue: 0.957 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:41 | n. bought products:98 | time in the supermarket: 2.012 s | time in queue: 1.994 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:34 | n. bought products:85 | time in the supermarket: 2.047 s | time in queue: 2.003 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:10 | n. bought products:56 | time in the supermarket: 2.174 s | time in queue: 2.153 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:29 | n. bought products:9 | time in the supermarket: 2.279 s | time in queue: 2.229 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:23 | n. bought products:50 | time in the supermarket: 3.251 s | time in queue: 3.214 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:30 | n. bought products:62 | time in the supermarket: 3.571 s | time in queue: 3.512 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:46 | n. bought products:98 | time in the supermarket: 4.007 s | time in queue: 3.975 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:11 | n. bought products:13 | time in the supermarket: 4.304 s | time in queue: 4.255 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:12 | n. bought products:67 | time in the supermarket: 4.668 s | time in queue: 4.616 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:25 | n. bought products:62 | time in the supermarket: 4.865 s | time in queue: 4.771 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:24 | n. bought products:32 | time in the supermarket: 5.386 s | time in queue: 5.320 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:49 | n. bought products:39 | time in the supermarket: 5.695 s | time in queue: 5.602 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:19 | n. bought products:3 | time in the supermarket: 5.808 s | time in queue: 5.709 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:47 | n. bought products:80 | time in the supermarket: 5.935 s | time in queue: 5.875 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:1 | n. bought products:32 | time in the supermarket: 6.105 s | time in queue: 6.035 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:7 | n. bought products:14 | time in the supermarket: 6.143 s | time in queue: 6.032 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:35 | n. bought products:15 | time in the supermarket: 6.271 s | time in queue: 6.199 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:18 | n. bought products:50 | time in the supermarket: 7.179 s | time in queue: 7.109 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:36 | n. bought products:45 | time in the supermarket: 7.205 s | time in queue: 7.128 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:31 | n. bought products:68 | time in the supermarket: 7.553 s | time in queue: 7.442 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:67 | n. bought products:87 | time in the supermarket: 1.961 s | time in queue: 1.814 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:22 | n. bought products:45 | time in the supermarket: 8.140 s | time in queue: 8.040 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:14 | n. bought products:27 | time in the supermarket: 8.146 s | time in queue: 7.989 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:6 | n. bought products:61 | time in the supermarket: 8.479 s | time in queue: 8.397 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:27 | n. bought products:21 | time in the supermarket: 8.617 s | time in queue: 8.443 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:69 | n. bought products:70 | time in the supermarket: 2.372 s | time in queue: 2.216 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:52 | n. bought products:57 | time in the supermarket: 7.797 s | time in queue: 7.786 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:72 | n. bought products:11 | time in the supermarket: 1.732 s | time in queue: 1.666 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:37 | n. bought products:75 | time in the supermarket: 10.053 s | time in queue: 9.972 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:13 | n. bought products:97 | time in the supermarket: 10.114 s | time in queue: 10.009 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:42 | n. bought products:51 | time in the supermarket: 11.150 s | time in queue: 11.055 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:51 | n. bought products:75 | time in the supermarket: 9.349 s | time in queue: 9.174 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:73 | n. bought products:93 | time in the supermarket: 3.666 s | time in queue: 3.548 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:8 | n. bought products:96 | time in the supermarket: 12.070 s | time in queue: 11.955 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:55 | n. bought products:46 | time in the supermarket: 10.055 s | time in queue: 9.944 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:43 | n. bought products:33 | time in the supermarket: 12.761 s | time in queue: 12.638 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:32 | n. bought products:98 | time in the supermarket: 13.189 s | time in queue: 13.074 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:84 | n. bought products:52 | time in the supermarket: 1.193 s | time in queue: 1.116 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:74 | n. bought products:75 | time in the supermarket: 5.239 s | time in queue: 5.069 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:2 | n. bought products:14 | time in the supermarket: 13.548 s | time in queue: 13.427 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:88 | n. bought products:23 | time in the supermarket: 0.607 s | time in queue: 0.592 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:59 | n. bought products:93 | time in the supermarket: 10.239 s | time in queue: 10.189 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:20 | n. bought products:85 | time in the supermarket: 14.497 s | time in queue: 14.370 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:89 | n. bought products:53 | time in the supermarket: 1.742 s | time in queue: 1.698 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:26 | n. bought products:67 | time in the supermarket: 14.964 s | time in queue: 14.843 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:9 | n. bought products:26 | time in the supermarket: 15.052 s | time in queue: 14.909 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:33 | n. bought products:4 | time in the supermarket: 15.165 s | time in queue: 15.021 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:78 | n. bought products:94 | time in the supermarket: 5.462 s | time in queue: 5.403 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:57 | n. bought products:57 | time in the supermarket: 11.431 s | time in queue: 11.263 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:80 | n. bought products:5 | time in the supermarket: 5.636 s | time in queue: 5.496 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:44 | n. bought products:39 | time in the supermarket: 15.820 s | time in queue: 15.693 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:95 | n. bought products:59 | time in the supermarket: 1.689 s | time in queue: 1.604 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:82 | n. bought products:41 | time in the supermarket: 5.250 s | time in queue: 5.078 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:50 | n. bought products:69 | time in the supermarket: 16.578 s | time in queue: 16.433 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:96 | n. bought products:41 | time in the supermarket: 2.030 s | time in queue: 1.941 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:61 | n. bought products:80 | time in the supermarket: 12.227 s | time in queue: 12.146 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:107 | n. bought products:0 | time in the supermarket: 0.073 s | time in queue: 0.000 s | n. queues checked: 0 | 
CUSTOMER -> | id customer:38 | n. bought products:32 | time in the supermarket: 17.254 s | time in queue: 17.096 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:4 | n. bought products:73 | time in the supermarket: 17.360 s | time in queue: 17.206 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:99 | n. bought products:58 | time in the supermarket: 2.197 s | time in queue: 2.175 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:16 | n. bought products:38 | time in the supermarket: 18.049 s | time in queue: 17.883 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:63 | n. bought products:64 | time in the supermarket: 12.615 s | time in queue: 12.604 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:3 | n. bought products:20 | time in the supermarket: 18.484 s | time in queue: 18.311 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:111 | n. bought products:47 | time in the supermarket: 0.992 s | time in queue: 0.982 s | n. queues checked: 1 | 
